URL	Notes	Camp Name	State	Target Group (Women, Ethnic Minorities, Low Income, N/A)	Theme (Game Design, Art, Programming, VR, App Dev, Web Dev, Minecraft, Robotics, More Than One, Other 	Language of Instruction	Cost (list costs, and ranges seperated by commas) or Unknown	Target age group	Length (Overnight, Full, Half, # of days) or Unknown	Scholarships (Yes, No, Unknown)
http://botclub.brazosrobotics.org/botclub-summer-camp/		Robot Programming	Texas	N/A	Robotics	VEX	$80	12,13,14,15,16,17	Half, 25	U
http://camps.mainerobotics.org/vex-robotics-camp.html	Maine Robotics Camp Program	VEX Robotics Camp	Maine	N/A	Robotics	VEX	$300	12,13,14,15,16	Full, 5	U
http://services.santabarbaraca.gov/summerfun/educraft.html	Educraft Camp	Robot Olymics Camp	California	N/A	Robotics	VEX	$204	10,11,12,13,14	Half, 5	U
http://services.santabarbaraca.gov/summerfun/educraft.html	Educraft Camp	Resuce robots	California	N/A	Robotics	VEX	$204	10,11,12,13,14	Half, 5	U
https://www.einsteinsworkshop.com/component/eventbooking/summer-camps/vex-iq-robotics-summer		Robotics with VEX IQ	Massachusettes	N/A	Robotics	VEX	$350	9,10,11,12,13	Half, 5	U
http://www.ctd.northwestern.edu/program/spectrum	Spectrum camp hosted by Northwestern University	Robotics Honors: Vex® the Competition	Illinois	N/A	Robotics	VEX EDR	$3,715	12,13	15	U
https://technologycouncil.com/we-build-tech/2016-we-build-tech-summer-camps/	Nashville Technology Council	Vex Robotics Camps	Tennesee	N/A	Robotics	VEX, C, LEGO	$300	11,12,13,14,15,16,17	5	U
http://www.stormingrobots.com/prod/SummerCoursePages/Robotic%20Quadruped%20with%20VEX-IQ.html	Storming Robots Camp	Robotics Quadruped with Vex-IQ	New Jersey	N/A	Robotics	VEX, LEGO	$525	12,13,14,15,16	5	U
http://www.austintheatre.org/roboarts/		roboARTS Camp	Texas	N/A	Robotics, Art	Unknown	$600	8,9,10,11,12,13	Full, 10	U
http://www.smu.edu/CAPE/SummerYouth	SMU Continuing And Professional Education (CAPE)	LEGO Games	Texas	N/A	Robotics, Game Design	Unknown	$199	11,12,13	Half, 5	U
http://viterbi.usc.edu/k-12/a-summary-of-k-12-education-and-outreach-programs-at-viterbi.htm		Robotics & Coding Academy	California	N/A	Robotics, Programming	Unknown	free	10,11,12,13	5	U
https://www.educationunlimited.com/camp/15/computer-camp.html		Education Unlimited	California	N/A	Web Design	HTML, CSS	$1,545.00d ay camper, $2,135.00 overnight	11,12,13	5	Y
https://www.educationunlimited.com/camp/15/computer-camp.html		Education Unlimited	California	N/A	Web Design	HTML, CSS	$1,545.00d ay camper, $2,135.00 overnight	11,12,13	5	Y
camps.cs.washington.edu/		Web Design	Washington	N/A	Web Design	HTML, Java	$220	12,13,14	5	Y
http://gtcomputingoutreach.org/summerCamp.html#web		Web Design	Georgia	N/A	Web Design	Unknown	$375 with $50 high school student discount	8,9,10,11,12,13,14,15,16,17	Overnight, 7	N
http://caj.hrsb.ca/caj/news/2016/04/01/coding-camp-summer-2016 		Coding Girls	Canada	Women	Web Design, App Dev, Minecraft	Scratch, App Inventor, HTML	$189-229	9,10,11,12,13,14	5	N
http://www.techsmartkids.com/FullStackWebDevCamp		full stack web dev camp	Washington	N/A	Web Dev	HTML, CSS, JavaScript Bootstrap, Python	$1,825	10,11,12,13,14	10	U
http://www.techsmartkids.com/FrontendWebDevCamp		front end web dev camp	Washington	N/A	Web Dev	HTML, CSS, Javascript, Bootstrap	$1,825	7,8,9,10,11,12,13,14,15,16	10	U
http://www.ctd.northwestern.edu/program/spectrum	Spectrum camp	HTML & CSS Honors	Illinois	N/A	Web Dev	HTML, CSS	$3,715	12,13	15	U
https://technologycouncil.com/we-build-tech/2016-we-build-tech-summer-camps/	Nashville Technology Council	Building Web Pages Camps	Tennessee	N/A	Web Dev	HTML, CSS, Java Script	$200	11,12,13,14,15,16,17	5	U
http://www.codecraftlab.org/product/web-lets-make-cool-web-stuff/	Florida Institute of Technology assoicated	We ARE the Web, Lets Make Cool Web Stuff	Florida	N/A	Web Dev	HTML, CSS, JavaScript	$200	9,10,11,12,13,14	4	U
http://www.ctd.northwestern.edu/program/apogee	Apogee camp hosted by Northwestern University	Web Design: Introduction to HTML & CSS	Illinois	N/A	Web Dev	HTML, CSS, JavaScript	$3,715	9,10,11	15	U
http://www.techsmartkids.com/BackendWebDevCamp		backend web dev camp	Washington	N/A	Web Dev	HTML, CSS, JavaScript Bootstrap, Python	$1,825	10,11,12,13,14	10	U
http://www.summertech.net/courses/		Web	New York	N/A	Web Dev	HTML, CSS, JavaScript, PHP, MySQL	$1225/ $1800 for overnight)	8,9,10,11,12,13,14,15,16,17	Overnight, Full, 6	U
http://www.smu.edu/CAPE/SummerYouth	SMU Continuing And Professional Education (CAPE)	Code Breakers	Texas	N/A	Web Dev	HTML, JavaScript, CSS	$199	11,12,13	Half, 5	U
https://www.codingwithkids.com/#!/camp?tab=3		web development	Washington	N/A	Web Dev	Javascript, CSS, HTML	$279	10,11,12,13,14,15,16	5	U
http://cscamp.cs.uri.edu/index.php	University of Rhode Island camp	Web Design and Development	Rhode Island	N/A	Web Dev	Javascript, CSS, PHP	$300	8,9,10	5	U
http://gtcomputingoutreach.org/summerCamp.html#web	Also in Lit Review	Web Design 	Georgia	N/A	Web Dev	Unknown	$375 (MS) $325 (HS)	5,6,7,8,9,10,11,12	4	U
http://hanalschool.wix.com/summer#!stem/csgz		Web Design	New Jersey	N/A	Web Dev	Unknown	unknown	10,11,12,13,14,15	Half, 5	U
http://www.mazemakers.com/activities.html		Mazemaker camp	Massachusetts	N/A	Web Dev	Unknown	$2,800	7,8,9,10,11,12,13	20	U
https://www.stemforkids.net/		STEM for Kids	North Carolina, Wisconsin, Washington, Texas	N/A	Web Dev	Unknown	Unknown	11,12,13,14,15,16,17	5	U
https://summerinstitutes.stanford.edu/courses/high-school/Computer-Science#department-803	Standford Summer Institute Camp	Web Technologies	California	N/A	Web Development	Unknown	$6,300	15,16	15	Y
http://www.imaginethatfun.com/camp_summer_robots.html	Imagine That!	Robotics and Programming	Georgia	N/A	Robotics, Programming	LEGO	$275	11,12,13,14	4	unknown
http://www.imaginethatfun.com/camp_summer_Minecraft.html	Imagine That!	Minecraft, Programming, and Logic	Georgia	N/A	Programming, Minecraft	Lua	$320	11,12,13,14	4	unknown
https://inhouse.unt.edu/summer-programs-offer-learning-and-fun-kids-all-ages		UNT Summer Camp	Texas	N/A	Game Design, App Dev	Unknown	$0	12,13,14,15,16,17	5	no
https://news.boisestate.edu/update/2016/03/11/boise-state-announce-summer-camps-kids-ages/		e-camp	Idaho	N/A	Programming	Unknown	$250	13,14,15	3	
https://roboticscamp.hsv-k12.org/		5th Annual Summer Engineering Camp (SEC) 4 Robotics	Alabama	N/A	Robotics	LEGO	$0	10,11,12,13	Full, 5	N/A
http://www.rhfleet.org/events/summer-camps		Robotics Garage	California	N/A	Robotics	LEGO	$325	12,13	Half, 5	Unknown
http://engineeringforkids.com/location/mpls/summerbycamp	Engineering For Kids	Racing Games	Minnesota, Washington, Oregon, California, Nevada, Arizona, New Mexico, Colorado, Kansas, Texas, Arkansas, Missouri, Minnesota, Wisconsin, Illinois, Indiana, Kentucky, Tennesse, Alabama, Georgia, South Carolina, North Carolina, Florida, Virginia, District of Columbia, Maryland, New Jersey, Connecticut, Massachussetts, New York, Pennsylvania	N/A	Game Design	Kodu	$140	11,12,13,14	Half, 4	Y
http://engineeringforkids.com/location/mpls/summerbycamp	Engineering For Kids	Invader Defense games	Minnesota, Washington, Oregon, California, Nevada, Arizona, New Mexico, Colorado, Kansas, Texas, Arkansas, Missouri, Minnesota, Wisconsin, Illinois, Indiana, Kentucky, Tennesse, Alabama, Georgia, South Carolina, North Carolina, Florida, Virginia, District of Columbia, Maryland, New Jersey, Connecticut, Massachussetts, New York, Pennsylvania	N/A	Game Design	Clickteam Fusion 2.5	$140	11,12,13,14	Half, 4	Y
http://engineeringforkids.com/location/mpls/summerbycamp	Engineering For Kids	Platform Games	Minnesota, Washington, Oregon, California, Nevada, Arizona, New Mexico, Colorado, Kansas, Texas, Arkansas, Missouri, Minnesota, Wisconsin, Illinois, Indiana, Kentucky, Tennesse, Alabama, Georgia, South Carolina, North Carolina, Florida, Virginia, District of Columbia, Maryland, New Jersey, Connecticut, Massachussetts, New York, Pennsylvania	N/A	Game Design	Clickteam Fusion 2.6	$140	11,12,13,14	Half, 4	Y
http://engineeringforkids.com/location/mpls/summerbycamp	Engineering For Kids	Tower Defense Games	Minnesota, Washington, Oregon, California, Nevada, Arizona, New Mexico, Colorado, Kansas, Texas, Arkansas, Missouri, Minnesota, Wisconsin, Illinois, Indiana, Kentucky, Tennesse, Alabama, Georgia, South Carolina, North Carolina, Florida, Virginia, District of Columbia, Maryland, New Jersey, Connecticut, Massachussetts, New York, Pennsylvania	N/A	Game Design	Clickteam Fusion 2	$140	11,12,13,14	Half, 4	Y
http://engineeringforkids.com/location/mpls/summerbycamp	Engineering For Kids	Rescue Robots	Minnesota, Washington, Oregon, California, Nevada, Arizona, New Mexico, Colorado, Kansas, Texas, Arkansas, Missouri, Minnesota, Wisconsin, Illinois, Indiana, Kentucky, Tennesse, Alabama, Georgia, South Carolina, North Carolina, Florida, Virginia, District of Columbia, Maryland, New Jersey, Connecticut, Massachussetts, New York, Pennsylvania	N/A	Robotics	LEGO	$140	11,12,13,14	Half, 4	Y
http://engineeringforkids.com/location/mpls/summerbycamp	Engineering For Kids	Robotic Olympics	Minnesota, Washington, Oregon, California, Nevada, Arizona, New Mexico, Colorado, Kansas, Texas, Arkansas, Missouri, Minnesota, Wisconsin, Illinois, Indiana, Kentucky, Tennesse, Alabama, Georgia, South Carolina, North Carolina, Florida, Virginia, District of Columbia, Maryland, New Jersey, Connecticut, Massachussetts, New York, Pennsylvania	N/A	Robotics	LEGO	$140	11,12,13,14	Half, 4	Y
http://engineeringforkids.com/location/mpls/summerbycamp	Engineering For Kids	Robot Surgeons	Minnesota, Washington, Oregon, California, Nevada, Arizona, New Mexico, Colorado, Kansas, Texas, Arkansas, Missouri, Minnesota, Wisconsin, Illinois, Indiana, Kentucky, Tennesse, Alabama, Georgia, South Carolina, North Carolina, Florida, Virginia, District of Columbia, Maryland, New Jersey, Connecticut, Massachussetts, New York, Pennsylvania	N/A	Robotics	LEGO	$140	11,12,13,14	Half, 5	Y
