Name	Targ1	Targ2	Targ3	Theme1	Theme2	Theme3	Theme4	Theme5	Theme6	Lang1	Lang2	Lang3	Lang4	Lang5	Lang6	Lang7	Lang8	
iD Game Design & Development Academy for Teens	1	@	@	2	@	@	@	@	@	33	@	@	@	@	@	@	@	
Racing Games	1	@	@	2	@	@	@	@	@	51	@	@	@	@	@	@	@	
Invader Defense games	1	@	@	2	@	@	@	@	@	12	@	@	@	@	@	@	@	
Platform Games	1	@	@	2	@	@	@	@	@	12	@	@	@	@	@	@	@	
Tower Defense Games	1	@	@	2	@	@	@	@	@	12	@	@	@	@	@	@	@	
G2: Girl Gamers Club	0	@	@	2	@	@	@	@	@	72	@	@	@	@	@	@	@	
Computer Game Design	1	@	@	2	@	@	@	@	@	72	@	@	@	@	@	@	@	
DIY Computer Game	1	@	@	2	@	@	@	@	@	28	@	@	@	@	@	@	@	
JUNIOR 2D GAME DEVELOPMENT	1	@	@	2	@	@	@	@	@	72	@	@	@	@	@	@	@	
JUNIOR 3D GAME DEVELOPMENT	1	@	@	2	@	@	@	@	@	72	@	@	@	@	@	@	@	
Intro to Coding Games and Animations	1	@	@	2	@	@	@	@	@	28	@	@	@	@	@	@	@	
3-D Game Design	1	@	@	2	@	@	@	@	@	57	@	@	@	@	@	@	@	
Game Design	1	@	@	2	@	@	@	@	@	72	@	@	@	@	@	@	@	
Video Game Design	1	@	@	2	@	@	@	@	@	72	@	@	@	@	@	@	@	
LEGO Video Games	1	@	@	2	@	@	@	@	@	72	@	@	@	@	@	@	@	
Make Your First 3-D Video Game	1	@	@	2	@	@	@	@	@	72	@	@	@	@	@	@	@	
Video Game Creation - Arcade Style 	1	@	@	2	@	@	@	@	@	72	@	@	@	@	@	@	@	
Video Game Creation - Platform Style	1	@	@	2	@	@	@	@	@	72	@	@	@	@	@	@	@	
Kodu Video Game Creation - Go-Kart Style	1	@	@	2	@	@	@	@	@	72	@	@	@	@	@	@	@	
Kodu Video Game Creation - Adventure Style	1	@	@	2	@	@	@	@	@	72	@	@	@	@	@	@	@	
Modding, Networking, and Hosting with Minecraft	1	@	@	2	@	@	@	@	@	72	@	@	@	@	@	@	@	
Video Game Creation - 3D Concepts	1	@	@	2	@	@	@	@	@	72	@	@	@	@	@	@	@	
Advanced Video Game Design	1	@	@	2	@	@	@	@	@	72	@	@	@	@	@	@	@	
Game Salad Programming	1	@	@	2	3	@	@	@	@	17	@	@	@	@	@	@	@	
beginner mobile game dev camp	1	@	@	2	3	@	@	@	@	31	@	@	@	@	@	@	@	
mobile game dev camp	1	@	@	2	3	@	@	@	@	9	32	@	@	@	@	@	@	
UNT Summer Camp	1	@	@	2	3	@	@	@	@	72	@	@	@	@	@	@	@	
SUMMER ARTS-N-CRAFTS, ROBOTS AND COMPUTING CAMP	1	@	@	0	2	3	@	@	@	4	21	28	@	@	@	@	@	
Middle School Camp	1	@	@	2	6	@	@	@	@	28	@	@	@	@	@	@	@	
Minecraft Mod Making Camp	1	@	@	7	@	@	@	@	@	19	@	@	@	@	@	@	@	
Introduction to Java using Minecraft mods!	1	@	@	7	@	@	@	@	@	19	@	@	@	@	@	@	@	
Minecraft Designer	1	@	@	7	@	@	@	@	@	7	20	@	@	@	@	@	@	
Minecraft: Turtle Robotics Programming Camp	1	@	@	7	@	@	@	@	@	22	@	@	@	@	@	@	@	
Minecraft Adventure	1	@	@	7	@	@	@	@	@	24	@	@	@	@	@	@	@	
Minecraft Redstone Engineering	1	@	@	7	@	@	@	@	@	24	@	@	@	@	@	@	@	
Minecraft Adventure Mapmaking Pro	1	@	@	7	@	@	@	@	@	24	@	@	@	@	@	@	@	
Minecraft Adventure Mapmaking Intro	1	@	@	7	@	@	@	@	@	24	@	@	@	@	@	@	@	
Minecraft	1	@	@	7	@	@	@	@	@	24	@	@	@	@	@	@	@	
Minecraft EDU	1	@	@	7	@	@	@	@	@	24	@	@	@	@	@	@	@	
Minecraft 201	1	@	@	7	@	@	@	@	@	24	@	@	@	@	@	@	@	
Minecraft	1	@	@	7	@	@	@	@	@	24	@	@	@	@	@	@	@	
Minecraft Designers	1	@	@	7	@	@	@	@	@	24	@	@	@	@	@	@	@	
Minecraft Modders	1	@	@	7	@	@	@	@	@	24	@	@	@	@	@	@	@	
Minecraft Animators	1	@	@	7	@	@	@	@	@	24	@	@	@	@	@	@	@	
Learning with Minecraft	1	@	@	7	@	@	@	@	@	24	@	@	@	@	@	@	@	
Minecraft Modders	1	@	@	7	@	@	@	@	@	19	24	@	@	@	@	@	@	
Minecraft Camp	1	@	@	7	@	@	@	@	@	24	@	@	@	@	@	@	@	
 Middle School Coding	1	@	@	7	@	@	@	@	@	28	@	@	@	@	@	@	@	
Minecraft : World of Humanities	1	@	@	7	@	@	@	@	@	72	@	@	@	@	@	@	@	
3D Game Design with Minecraft Camp	1	@	@	7	@	@	@	@	@	72	@	@	@	@	@	@	@	
Adventures in Minecraft	1	@	@	7	@	@	@	@	@	72	@	@	@	@	@	@	@	
Minecraft Server Setup, Managing and Hosting	1	@	@	7	@	@	@	@	@	72	@	@	@	@	@	@	@	
MinecraftEDU: Medieval Redstone	1	@	@	7	@	@	@	@	@	24	@	@	@	@	@	@	@	
MinecraftEDU: Traveling into the Future	1	@	@	7	@	@	@	@	@	24	@	@	@	@	@	@	@	
Summer Camps at Reuben H. Fleet Science Center	1	@	@	7	@	@	@	@	@	24	@	@	@	@	@	@	@	
Mod Like a Modder	1	@	@	7	@	@	@	@	@	19	@	@	@	@	@	@	@	
LearnToMod: Adventures in Minecraft Modding	1	@	@	7	@	@	@	@	@	7	@	@	@	@	@	@	@	
Learn to Code with Minecraft	1	@	@	7	@	@	@	@	@	24	@	@	@	@	@	@	@	
Intro to Engineering with Minecraft	1	@	@	7	@	@	@	@	@	24	@	@	@	@	@	@	@	
3-D Character Animation	1	@	@	7	@	@	@	@	@	24	@	@	@	@	@	@	@	
